X_world,Y_world,R_world
-9.044730471014393203e+00,6.966469592362864205e+02,7.025013055373476034e-02
-8.656023458042874097e+00,7.100646316363428241e+02,2.370941906188548109e-01
-1.699861394192690867e+01,7.137660287479454837e+02,2.283129242996379815e-01
-1.034546723156799608e+01,7.272209864710090415e+02,1.756253263843368939e-01
-1.587843145471487816e+01,7.069224722678578701e+02,2.370941906188548109e-01
-9.261465300640569609e+00,7.103951809726930833e+02,1.668440600651200645e-01
-1.030558540521541921e+01,7.271142270553170874e+02,1.931878590227705805e-01
-1.054745097943474619e+01,7.133186338153063843e+02,1.492815274266863779e-01
-1.359061373576671805e+01,7.055288533635756494e+02,1.053751958306021475e-01
-1.596867867133647323e+01,7.151140535097221118e+02,1.141564621498189908e-01
-1.886209792541967545e+01,7.198079321878623205e+02,1.756253263843368939e-01
-1.158144289754425138e+01,7.189680266074193469e+02,1.229377284690358341e-01
-1.239037236199935776e+01,7.128632238706181852e+02,1.141564621498189908e-01
-1.180278989739308670e+01,7.142281546385895581e+02,1.053751958306021475e-01
-9.757467747369757305e+00,7.119784027284077865e+02,1.053751958306021475e-01
-1.101204605803154912e+01,7.277129035924158416e+02,1.229377284690358341e-01
-1.389652818447765981e+01,7.051981283126093558e+02,1.668440600651200645e-01
-1.421742775097804490e+01,7.286889166245854312e+02,1.053751958306021475e-01
-1.633070126304870229e+01,7.270765361980088528e+02,7.025013055373476034e-02
-1.786580842418968729e+01,7.148681162477007547e+02,8.781266319216844696e-02
-6.441902688671994781e+00,7.067159166451568808e+02,1.053751958306021475e-01
-1.273086975794591069e+01,7.306457608506976840e+02,7.903139687295160365e-02
-7.700849133367546173e+00,7.063623595617922319e+02,7.025013055373476034e-02
-9.259942974471201182e+00,7.145105098648542707e+02,7.903139687295160365e-02
-1.111303135182599533e+01,7.080497737845328174e+02,9.659392951138529027e-02
-9.011498743222526642e+00,7.186916767162457518e+02,7.903139687295160365e-02
-1.258875122839602767e+01,7.087074882390777475e+02,8.781266319216844696e-02
-1.154813713667810582e+01,7.154465669317678476e+02,7.025013055373476034e-02
-1.435121463767731775e+01,7.127508711043279845e+02,8.781266319216844696e-02
-1.322007200768109847e+01,7.098891901994678619e+02,7.025013055373476034e-02
-8.247128194617083352e+00,7.103670230590633992e+02,9.659392951138529027e-02
-6.005996468140059719e+00,7.469104158955559569e+02,1.229377284690358341e-01
-1.268459446261999624e+01,7.517509265567100556e+02,1.756253263843368939e-01
-2.096650706253151952e+01,7.547700678633900679e+02,1.580627937459032073e-01
-9.118818474882747438e+00,7.537025893221795059e+02,8.781266319216844696e-02
-1.346730185958969483e-01,7.580864797137709274e+02,1.492815274266863779e-01
-1.402729335400831623e+01,7.493224547319804287e+02,1.492815274266863779e-01
-1.761734259343994191e+00,7.464018756989120220e+02,1.053751958306021475e-01
-1.604828399450802934e+01,7.333492618707883821e+02,1.844065927035537511e-01
-1.226266076329606136e+01,7.351884152730099231e+02,1.492815274266863779e-01
-1.860180453112524646e+01,7.395739218623627949e+02,1.405002611074695207e-01
-6.945766425994394311e+00,7.431992397482438264e+02,1.229377284690358341e-01
-3.836249980111035907e+00,7.513866225534281966e+02,1.141564621498189908e-01
-1.109902468189055469e+01,7.397946197358987774e+02,1.141564621498189908e-01
-1.374564042285311771e+01,7.458491472564838887e+02,1.053751958306021475e-01
